UniProt gene,UniProt description,Surfaceome Label,Surfaceome Label Source,CD number,CSPA category,TM domains,topology,HPA antibody,DrugBank approved drug IDs,UniProt subcellular
ABCA1,ATP-binding cassette sub-family A member 1,surface,machine learning,,2 - putative,15,CY:1-24;TM:25-44;NC:45-640;TM:641-660;CY:661-679;TM:680-704;NC:705-715;TM:716-736;CY:737-743;TM:744-763;NC:764-773;TM:774-796;CY:797-827;TM:828-848;NC:849-1040;TM:1041-1059;CY:1060-1346;TM:1347-1369;NC:1370-1654;TM:1655-1677;CY:1678-1696;TM:1697-1722;NC:1723-1734;TM:1735-1754;CY:1755-1765;TM:1766-1788;NC:1789-1801;TM:1802-1820;CY:1821-1852;TM:1853-1874;NC:1875-2261,HPA057283;CAB069889,DB00171;DB01016;DB01599,Membrane (Multi-pass membrane protein)
ABCA12,ATP-binding cassette sub-family A member 12,surface,machine learning,,,12,CY:1-23;TM:24-43;NC:44-1066;TM:1067-1090;CY:1091-1110;TM:1111-1133;NC:1134-1144;TM:1145-1167;CY:1168-1173;TM:1174-1196;NC:1197-1249;TM:1250-1271;CY:1272-1745;TM:1746-1765;NC:1766-1986;TM:1987-2009;CY:2010-2039;TM:2040-2061;NC:2062-2067;TM:2068-2089;CY:2090-2098;TM:2099-2123;NC:2124-2185;TM:2186-2207;CY:2208-2595,HPA043194,,Membrane (Multi-pass membrane protein)
ABCA13,ATP-binding cassette sub-family A member 13,surface,machine learning,,,14,CY:1-23;TM:24-43;NC:44-3569;TM:3570-3591;CY:3592-3611;TM:3612-3636;NC:3637-3647;TM:3648-3669;CY:3670-3677;TM:3678-3699;NC:3700-3704;TM:3705-3729;CY:3730-3749;TM:3750-3773;NC:3774-4229;TM:4230-4249;CY:4250-4455;TM:4456-4477;NC:4478-4507;TM:4508-4529;CY:4530-4535;TM:4536-4556;NC:4557-4567;TM:4568-4592;CY:4593-4606;TM:4607-4625;NC:4626-4652;TM:4653-4675;CY:4676-5058,HPA039914,,Membrane (Multi-pass membrane protein)
ABCA2,ATP-binding cassette sub-family A member 2,surface,machine learning,,2 - putative,14,NC:1-21;TM:22-42;CY:43-53;TM:54-73;NC:74-705;TM:706-728;CY:729-748;TM:749-771;NC:772-782;TM:783-805;CY:806-811;TM:812-831;NC:832-891;TM:892-913;CY:914-1456;TM:1457-1478;NC:1479-1791;TM:1792-1814;CY:1815-1823;TM:1824-1842;NC:1843-1847;TM:1848-1866;CY:1867-1874;TM:1875-1897;NC:1898-1902;TM:1903-1925;CY:1926-1987;TM:1988-2013;NC:2014-2435,HPA042886,,Endosome membrane (Multi-pass membrane protein);Lysosome membrane (Multi-pass membrane protein)
ABCA3,ATP-binding cassette sub-family A member 3,surface,machine learning,,,12,CY:1-20;TM:21-42;NC:43-261;TM:262-282;CY:283-302;TM:303-326;NC:327-345;TM:346-368;CY:369-374;TM:375-393;NC:394-925;TM:926-947;CY:948-1099;TM:1100-1120;NC:1121-1140;TM:1141-1163;CY:1164-1182;TM:1183-1207;NC:1208-1213;TM:1214-1235;CY:1236-1246;TM:1247-1265;NC:1266-1303;TM:1304-1324;CY:1325-1704,HPA007884,,Membrane (Multi-pass membrane protein)
ABCA4,Retinal-specific ATP-binding cassette transporter,surface,machine learning,,,12,CY:1-22;TM:23-42;NC:43-646;TM:647-668;CY:669-693;TM:694-719;NC:720-730;TM:731-751;CY:752-759;TM:760-783;NC:784-835;TM:836-857;CY:858-1372;TM:1373-1396;NC:1397-1727;TM:1728-1749;CY:1750-1760;TM:1761-1779;NC:1780-1790;TM:1791-1816;CY:1817-1827;TM:1828-1851;NC:1852-1874;TM:1875-1896;CY:1897-2273,no,,Membrane (Multi-pass membrane protein)
ABCA5,ATP-binding cassette sub-family A member 5,surface,machine learning,,2 - putative,15,CY:1-35;TM:36-53;NC:54-220;TM:221-242;CY:243-261;TM:262-285;NC:286-296;TM:297-317;CY:318-328;TM:329-348;NC:349-353;TM:354-375;CY:376-394;TM:395-417;NC:418-863;TM:864-882;CY:883-965;TM:966-988;NC:989-1020;TM:1021-1040;CY:1041-1069;TM:1070-1092;NC:1093-1100;TM:1101-1125;CY:1126-1136;TM:1137-1159;NC:1160-1164;TM:1165-1187;CY:1188-1206;TM:1207-1228;NC:1229-1642,HPA022032,,Golgi apparatus membrane (Multi-pass membrane protein);Late endosome membrane (Multi-pass membrane protein);Lysosome membrane (Multi-pass membrane protein)
ABCA6,ATP-binding cassette sub-family A member 6,surface,machine learning,,,12,SP:1-52;NC:53-221;TM:222-242;CY:243-262;TM:263-286;NC:287-291;TM:292-318;CY:319-326;TM:327-348;NC:349-394;TM:395-417;CY:418-853;TM:854-877;NC:878-1017;TM:1018-1036;CY:1037-1056;TM:1057-1082;NC:1083-1093;TM:1094-1117;CY:1118-1127;TM:1128-1147;NC:1148-1152;TM:1153-1174;CY:1175-1193;TM:1194-1214;NC:1215-1617,no,,Membrane (Multi-pass membrane protein)
ABCA7,ATP-binding cassette sub-family A member 7,surface,pos. trainingset,,1 - high confidence,15,CY:1-22;TM:23-42;NC:43-549;TM:550-570;CY:571-589;TM:590-614;NC:615-625;TM:626-646;CY:647-653;TM:654-673;NC:674-684;TM:685-707;CY:708-726;TM:727-750;NC:751-849;TM:850-869;CY:870-1238;TM:1239-1261;NC:1262-1535;TM:1536-1558;CY:1559-1577;TM:1578-1605;NC:1606-1616;TM:1617-1636;CY:1637-1646;TM:1647-1669;NC:1670-1682;TM:1683-1701;CY:1702-1732;TM:1733-1751;NC:1752-2146,HPA041564,,Cell membrane (Multi-pass membrane protein);Endosome membrane (Multi-pass membrane protein);Golgi apparatus membrane (Multi-pass membrane protein)
ABCA8,ATP-binding cassette sub-family A member 8,surface,pos. trainingset,,1 - high confidence,14,CY:1-30;TM:31-48;NC:49-223;TM:224-244;CY:245-263;TM:264-288;NC:289-293;TM:294-319;CY:320-327;TM:328-350;NC:351-356;TM:357-377;CY:378-396;TM:397-419;NC:420-821;TM:822-841;CY:842-980;TM:981-1000;NC:1001-1024;TM:1025-1048;CY:1049-1061;TM:1062-1084;NC:1085-1094;TM:1095-1116;CY:1117-1122;TM:1123-1145;NC:1146-1158;TM:1159-1180;CY:1181-1581,HPA044914,,Cell membrane (Multi-pass membrane protein)
