UniProt gene,UniProt description,Surfaceome Label,Surfaceome Label Source,CD number,CSPA category,TM domains,topology,HPA antibody,DrugBank approved drug IDs,UniProt subcellular
ABCA1,ATP-binding cassette sub-family A member 1,surface,machine learning,,2 - putative,15,CY:1-24;TM:25-44;NC:45-640;TM:641-660;CY:661-679;TM:680-704;NC:705-715;TM:716-736;CY:737-743;TM:744-763;NC:764-773;TM:774-796;CY:797-827;TM:828-848;NC:849-1040;TM:1041-1059;CY:1060-1346;TM:1347-1369;NC:1370-1654;TM:1655-1677;CY:1678-1696;TM:1697-1722;NC:1723-1734;TM:1735-1754;CY:1755-1765;TM:1766-1788;NC:1789-1801;TM:1802-1820;CY:1821-1852;TM:1853-1874;NC:1875-2261,HPA057283;CAB069889,DB00171;DB01016;DB01599,Membrane (Multi-pass membrane protein)
ABCA2,ATP-binding cassette sub-family A member 2,surface,machine learning,,2 - putative,14,NC:1-21;TM:22-42;CY:43-53;TM:54-73;NC:74-705;TM:706-728;CY:729-748;TM:749-771;NC:772-782;TM:783-805;CY:806-811;TM:812-831;NC:832-891;TM:892-913;CY:914-1456;TM:1457-1478;NC:1479-1791;TM:1792-1814;CY:1815-1823;TM:1824-1842;NC:1843-1847;TM:1848-1866;CY:1867-1874;TM:1875-1897;NC:1898-1902;TM:1903-1925;CY:1926-1987;TM:1988-2013;NC:2014-2435,HPA042886,,Endosome membrane (Multi-pass membrane protein);Lysosome membrane (Multi-pass membrane protein)
ABCA5,ATP-binding cassette sub-family A member 5,surface,machine learning,,2 - putative,15,CY:1-35;TM:36-53;NC:54-220;TM:221-242;CY:243-261;TM:262-285;NC:286-296;TM:297-317;CY:318-328;TM:329-348;NC:349-353;TM:354-375;CY:376-394;TM:395-417;NC:418-863;TM:864-882;CY:883-965;TM:966-988;NC:989-1020;TM:1021-1040;CY:1041-1069;TM:1070-1092;NC:1093-1100;TM:1101-1125;CY:1126-1136;TM:1137-1159;NC:1160-1164;TM:1165-1187;CY:1188-1206;TM:1207-1228;NC:1229-1642,HPA022032,,Golgi apparatus membrane (Multi-pass membrane protein);Late endosome membrane (Multi-pass membrane protein);Lysosome membrane (Multi-pass membrane protein)
ABCA7,ATP-binding cassette sub-family A member 7,surface,pos. trainingset,,1 - high confidence,15,CY:1-22;TM:23-42;NC:43-549;TM:550-570;CY:571-589;TM:590-614;NC:615-625;TM:626-646;CY:647-653;TM:654-673;NC:674-684;TM:685-707;CY:708-726;TM:727-750;NC:751-849;TM:850-869;CY:870-1238;TM:1239-1261;NC:1262-1535;TM:1536-1558;CY:1559-1577;TM:1578-1605;NC:1606-1616;TM:1617-1636;CY:1637-1646;TM:1647-1669;NC:1670-1682;TM:1683-1701;CY:1702-1732;TM:1733-1751;NC:1752-2146,HPA041564,,Cell membrane (Multi-pass membrane protein);Endosome membrane (Multi-pass membrane protein);Golgi apparatus membrane (Multi-pass membrane protein)
ABCA8,ATP-binding cassette sub-family A member 8,surface,pos. trainingset,,1 - high confidence,14,CY:1-30;TM:31-48;NC:49-223;TM:224-244;CY:245-263;TM:264-288;NC:289-293;TM:294-319;CY:320-327;TM:328-350;NC:351-356;TM:357-377;CY:378-396;TM:397-419;NC:420-821;TM:822-841;CY:842-980;TM:981-1000;NC:1001-1024;TM:1025-1048;CY:1049-1061;TM:1062-1084;NC:1085-1094;TM:1095-1116;CY:1117-1122;TM:1123-1145;NC:1146-1158;TM:1159-1180;CY:1181-1581,HPA044914,,Cell membrane (Multi-pass membrane protein)
ABCB1,Multidrug resistance protein 1,surface,pos. trainingset,CD243,1 - high confidence,12,CY:1-48;TM:49-72;NC:73-114;TM:115-139;CY:140-189;TM:190-208;NC:209-213;TM:214-235;CY:236-292;TM:293-316;NC:317-327;TM:328-346;CY:347-707;TM:708-733;NC:734-753;TM:754-777;CY:778-832;TM:833-853;NC:854-858;TM:859-879;CY:880-936;TM:937-955;NC:956-973;TM:974-995;CY:996-1280,CAB001716;HPA002199,DB00171;DB00778;DB04877,Cell membrane (Multi-pass membrane protein)
ABCC1,Multidrug resistance-associated protein 1,surface,pos. trainingset,,1 - high confidence,17,NC:1-36;TM:37-56;CY:57-75;TM:76-94;NC:95-99;TM:100-124;CY:125-135;TM:136-153;NC:154-172;TM:173-191;CY:192-315;TM:316-335;NC:336-362;TM:363-385;CY:386-436;TM:437-459;NC:460-464;TM:465-485;CY:486-542;TM:543-571;NC:572-590;TM:591-611;CY:612-968;TM:969-991;NC:992-1023;TM:1024-1045;CY:1046-1089;TM:1090-1110;NC:1111-1115;TM:1116-1134;CY:1135-1199;TM:1200-1220;NC:1221-1226;TM:1227-1247;CY:1248-1531,HPA002380,DB01138,Cell membrane (Multi-pass membrane protein)
ABCC2,Canalicular multispecific organic anion transporter 1,surface,machine learning,,2 - putative,17,NC:1-30;TM:31-52;CY:53-63;TM:64-87;NC:88-98;TM:99-118;CY:119-128;TM:129-150;NC:151-161;TM:162-184;CY:185-316;TM:317-338;NC:339-357;TM:358-382;CY:383-436;TM:437-456;NC:457-461;TM:462-481;CY:482-542;TM:543-568;NC:569-587;TM:588-606;CY:607-970;TM:971-994;NC:995-1030;TM:1031-1052;CY:1053-1098;TM:1099-1116;NC:1117-1121;TM:1122-1142;CY:1143-1208;TM:1209-1229;NC:1230-1236;TM:1237-1256;CY:1257-1545,HPA004860;CAB037271,DB00171;DB01138,Apical cell membrane (Multi-pass membrane protein)
ABCC4,Multidrug resistance-associated protein 4,surface,machine learning,,2 - putative,12,CY:1-91;TM:92-114;NC:115-133;TM:134-157;CY:158-207;TM:208-227;NC:228-232;TM:233-254;CY:255-319;TM:320-342;NC:343-347;TM:348-369;CY:370-708;TM:709-730;NC:731-764;TM:765-791;CY:792-834;TM:835-854;NC:855-859;TM:860-882;CY:883-948;TM:949-970;NC:971-976;TM:977-997;CY:998-1325,HPA002476,,Membrane (Multi-pass membrane protein)
ABCC5,Multidrug resistance-associated protein 5,surface,machine learning,,2 - putative,12,CY:1-178;TM:179-199;NC:200-218;TM:219-242;CY:243-290;TM:291-313;NC:314-318;TM:319-336;CY:337-395;TM:396-418;NC:419-428;TM:429-447;CY:448-856;TM:857-880;NC:881-912;TM:913-936;CY:937-992;TM:993-1011;NC:1012-1016;TM:1017-1036;CY:1037-1101;TM:1102-1121;NC:1122-1126;TM:1127-1147;CY:1148-1437,HPA052295,,Membrane (Multi-pass membrane protein)
